Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6565b221e5ee9c2d61a90d89,6047938e2edfb901ef28975e,APPROVED,2023-11-28T09:25:53.802000Z,2023-11-28T09:31:50.859000Z,2023-11-28T10:52:45.993000Z,2023-11-28T09:31:51.384156Z,358.0,CBCT4R5Q,370,"Portuguese, English",White/Caucasian,33,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6565b242009eeb17459c8b41,5ff9dae550f0663236a53c19,APPROVED,2023-11-28T09:26:26.969000Z,2023-11-28T09:40:56.323000Z,2023-11-28T10:52:51.352000Z,2023-11-28T09:40:56.942779Z,870.0,CBCT4R5Q,494,"English, Polish",White/Caucasian,31,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6565b268f48f99056733f109,5f6a064fecc7cb03c2b61542,APPROVED,2023-11-28T09:27:11.973000Z,2023-11-28T09:39:07.599000Z,2023-11-28T10:53:03.542000Z,2023-11-28T09:39:08.072067Z,716.0,CBCT4R5Q,379,English,African,31,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6565b2755a81489784484986,6102db96d41a4bf54acd678b,APPROVED,2023-11-28T09:27:17.590000Z,2023-11-28T09:33:37.433000Z,2023-11-28T10:53:05.830000Z,2023-11-28T09:33:37.898666Z,380.0,CBCT4R5Q,299,English,African,30,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Part-Time
6565b277d20c86dae326d5ae,5fc4bc07be970b93ac1ac3b2,APPROVED,2023-11-28T09:27:19.037000Z,2023-11-28T09:33:32.602000Z,2023-11-28T10:53:07.273000Z,2023-11-28T09:33:33.329841Z,374.0,CBCT4R5Q,551,"English, Hungarian",White/Caucasian,31,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6565b285739efdc811fa849f,60cc72425533320442c05f8c,APPROVED,2023-11-28T09:27:33.105000Z,2023-11-28T09:45:25.278000Z,2023-11-28T10:53:09.383000Z,2023-11-28T09:45:25.778900Z,1073.0,CBCT4R5Q,234,English,African,29,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6565b28a622e86e14ebe6fc5,5ef945aa4ffead6e3ea69289,APPROVED,2023-11-28T09:27:38.213000Z,2023-11-28T09:31:39.082000Z,2023-11-28T10:53:10.731000Z,2023-11-28T09:31:39.628215Z,241.0,CBCT4R5Q,582,"English, Portuguese",White/Caucasian,31,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6565b2a6622e86e14ebe6fca,60bddc13bec08854c614d30b,APPROVED,2023-11-28T09:28:12.148000Z,2023-11-28T09:41:33.164000Z,2023-11-28T10:53:21.501000Z,2023-11-28T09:41:33.701664Z,802.0,CBCT4R5Q,154,English,African,27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other
6565b2b740c27a659eaaaff8,610188d5ae3b8a7623ef58c4,APPROVED,2023-11-28T09:28:28.754000Z,2023-11-28T09:37:51.681000Z,2023-11-28T10:53:27.687000Z,2023-11-28T09:37:52.170429Z,563.0,CBCT4R5Q,112,English,Black/African American,36,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time
6565b2bd5a8148978448499a,616355463b5f30433e95643a,APPROVED,2023-11-28T09:28:29.342000Z,2023-11-28T09:43:15.797000Z,2023-11-28T10:53:39.531000Z,2023-11-28T09:43:16.308123Z,887.0,CBCT4R5Q,258,English,African,39,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6565b2c790246c10fe90e657,61768384731ac05202ee94a9,APPROVED,2023-11-28T09:28:39.882000Z,2023-11-28T09:43:48.120000Z,2023-11-28T10:53:41.936000Z,2023-11-28T09:43:48.716052Z,909.0,CBCT4R5Q,222,"English, Afrikaans",African,31,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
