conv_id,emotion,situation,utterance
hit:5250_conv:10501,prepared,There is a storm approaching my house. I am ready for it though.,There is a storm approaching my house.
hit:5250_conv:10501,prepared,There is a storm approaching my house. I am ready for it though.,Hopefully it's not a big one that would cause serious damage_comma_ I assume? Otherwise_comma_ I kind of like storms. I like the sound of rain_comma_ and the visual aspect. It's the best when you get to fall asleep to them.
hit:12400_conv:24801,content,Anytime I am laying in bed watching TV and playing on my phone I am perfectly happy with life especially if my fiance is home.,I don't know if its weird but I am most comfortable laying in bed watching TV and hanging out from there.
hit:12400_conv:24801,content,Anytime I am laying in bed watching TV and playing on my phone I am perfectly happy with life especially if my fiance is home.,I'm right there with you. I've always been a home-body. I don't like going out as much. Sometimes people say millennials and technology have disconnected people too much.. that could be true. But at least we're comfortable doin it.
hit:3827_conv:7654,impressed,My friend works 2 jobs to support her 3 kids.,My friend works 2 jobs to support her 3 kids
hit:3827_conv:7654,impressed,My friend works 2 jobs to support her 3 kids.,thats a strong woman _comma_ i know of people that dont work at all a refuse to pay child support _comma_ in my eyes they are not men
hit:11320_conv:22640,angry,My daughter was running through the house like usual the other day. She tripped on my laptop cord and pulled it off the table and the screen cracked. I was upset. ,So_comma_ i may be in the market for a new laptop or a repair at least_comma_ thanks to a little mishap.
hit:11320_conv:22640,angry,My daughter was running through the house like usual the other day. She tripped on my laptop cord and pulled it off the table and the screen cracked. I was upset. ,Oh no! What happened to your laptop? if you get a new one which one are you looking at?
hit:7110_conv:14221,guilty,I cut someone off in traffic today,I cut someone off in traffic today and felt so bad
hit:7110_conv:14221,guilty,I cut someone off in traffic today,Oh_comma_ well it happens sometimes and can't be helped. But_comma_ I understand why it would make you feel bad too!
hit:1930_conv:3860,angry,when my neighbors wouldnt stop their dog from barking and it bit me , I told my neighbor multiple times to stop their dog from barking. They leave it outside the entire day and most of the night! 
hit:1930_conv:3860,angry,when my neighbors wouldnt stop their dog from barking and it bit me ,That is awful! I hate people who leave their dogs out all day. That's no life for a dog to live at all.
hit:1886_conv:3772,prepared,last year Irma made me so sad it wrecked a lot of FL,I was prepared for Irma last year but it caught my neighborhood by surprise
hit:1886_conv:3772,prepared,last year Irma made me so sad it wrecked a lot of FL,I can imagine it caught many people off guard.  I hope everyone came out ok in the end.
hit:8161_conv:16322,nostalgic,My nephews came over a few days ago and it reminded me of my good childhood days.,My nephews came over a few days ago and it reminded me of my good childhood days.
hit:8161_conv:16322,nostalgic,My nephews came over a few days ago and it reminded me of my good childhood days.,Nice_comma_ I'm sure you are a great uncle! It's fun to be youthful sometimes and relive childhood memories!
hit:10631_conv:21262,terrified,once I was in a drive-by shooting,once I was in a drive-by shooting
hit:10631_conv:21262,terrified,once I was in a drive-by shooting,Oh dang that sounds really scary. I'm assuming that since you're still here that you are okay?
hit:8753_conv:17506,prepared,I am excited for the new super smash bros game coming out for the switch soon,I am excited for the new super smash bros game coming out for the switch soon
hit:8753_conv:17506,prepared,I am excited for the new super smash bros game coming out for the switch soon,Ive wanted to play the switch for so long long_comma_ I have heard such good things about it.  do you like it?
